1.300000000000000000e+01,1.100000000000000000e+01,1.500000000000000000e+01
1.000000000000000000e+01,9.000000000000000000e+00,1.200000000000000000e+01
1.500000000000000000e+01,1.200000000000000000e+01,1.200000000000000000e+01

2.700000000000000000e+01,2.200000000000000000e+01,2.800000000000000000e+01
1.800000000000000000e+01,1.800000000000000000e+01,2.700000000000000000e+01
2.800000000000000000e+01,2.000000000000000000e+01,2.100000000000000000e+01

4.100000000000000000e+01,3.200000000000000000e+01,4.400000000000000000e+01
2.400000000000000000e+01,2.500000000000000000e+01,4.000000000000000000e+01
4.300000000000000000e+01,2.900000000000000000e+01,3.100000000000000000e+01

5.400000000000000000e+01,4.100000000000000000e+01,6.000000000000000000e+01
3.100000000000000000e+01,3.200000000000000000e+01,5.400000000000000000e+01
5.700000000000000000e+01,3.800000000000000000e+01,4.200000000000000000e+01

6.500000000000000000e+01,4.800000000000000000e+01,7.600000000000000000e+01
3.700000000000000000e+01,3.900000000000000000e+01,6.700000000000000000e+01
7.500000000000000000e+01,4.800000000000000000e+01,5.400000000000000000e+01

8.000000000000000000e+01,5.800000000000000000e+01,9.300000000000000000e+01
4.300000000000000000e+01,4.700000000000000000e+01,8.100000000000000000e+01
8.900000000000000000e+01,5.600000000000000000e+01,6.200000000000000000e+01

9.300000000000000000e+01,7.000000000000000000e+01,1.080000000000000000e+02
5.000000000000000000e+01,5.400000000000000000e+01,9.500000000000000000e+01
1.040000000000000000e+02,6.400000000000000000e+01,7.100000000000000000e+01

1.080000000000000000e+02,7.800000000000000000e+01,1.250000000000000000e+02
5.600000000000000000e+01,6.000000000000000000e+01,1.070000000000000000e+02
1.210000000000000000e+02,7.200000000000000000e+01,8.200000000000000000e+01

1.210000000000000000e+02,8.700000000000000000e+01,1.410000000000000000e+02
6.100000000000000000e+01,6.700000000000000000e+01,1.190000000000000000e+02
1.400000000000000000e+02,8.100000000000000000e+01,9.200000000000000000e+01

1.340000000000000000e+02,9.700000000000000000e+01,1.600000000000000000e+02
6.700000000000000000e+01,7.300000000000000000e+01,1.310000000000000000e+02
1.560000000000000000e+02,8.900000000000000000e+01,1.020000000000000000e+02

1.500000000000000000e+02,1.050000000000000000e+02,1.780000000000000000e+02
7.300000000000000000e+01,7.900000000000000000e+01,1.430000000000000000e+02
1.730000000000000000e+02,9.600000000000000000e+01,1.120000000000000000e+02

1.650000000000000000e+02,1.130000000000000000e+02,2.010000000000000000e+02
